2025-10-03 12:23:34 | Amadon | INFO     | info:76 | Abrindo módulo: Busca (placeholder)
2025-10-03 12:23:39 | Amadon | INFO     | info:76 | Abrindo módulo: Configuração (placeholder)
2025-10-03 12:23:41 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
2025-10-03 12:31:38 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:31:38 | Amadon | INFO     | info:76 | Iniciando aplicação Amadon
2025-10-03 12:31:38 | Amadon | DEBUG    | debug:71 | Ícone de janela aplicado com sucesso
2025-10-03 12:31:38 | Amadon | DEBUG    | debug:71 | Janela principal configurada
2025-10-03 12:31:38 | Amadon | INFO     | info:76 | Aplicação Amadon iniciada com sucesso
2025-10-03 12:31:39 | Amadon | INFO     | info:76 | Abrindo módulo: Documentos (placeholder)
2025-10-03 12:31:42 | Amadon | INFO     | info:76 | Abrindo módulo: Assuntos (placeholder)
2025-10-03 12:31:44 | Amadon | INFO     | info:76 | Abrindo módulo: Artigos (placeholder)
2025-10-03 12:31:46 | Amadon | INFO     | info:76 | Abrindo módulo: Busca (placeholder)
2025-10-03 12:31:48 | Amadon | INFO     | info:76 | Abrindo módulo: Configuração (placeholder)
2025-10-03 12:31:50 | Amadon | INFO     | info:76 | Abrindo módulo: Ajuda (placeholder)
2025-10-03 12:31:52 | Amadon | INFO     | info:76 | Aplicação encerrada normalmente com código: 0
